Candidate,verA,verB,n_samples,has_slope_info,r_global_per_h,se_laplace,rel_advantage_per_h,doubling_h,ci_boot_lo,ci_boot_hi,se_boot,loso_heterogeneity_sd,sens_to_OD_weight,identifiability
A85-B41,A85,B41,1,False,0.8098,0.0932,-0.0243,0.86,0.7649,0.8591,0.0329,0.0121,0.0049,data-pinned
A86-B107,A86,B107,1,False,0.8098,0.0932,-0.0243,0.86,0.7631,0.8819,0.0375,0.0121,0.0049,data-pinned
A81-B30,A81,B30,1,False,0.8098,0.0932,-0.0243,0.86,0.765,0.8766,0.0331,0.0121,0.0049,data-pinned
A192-B134,A192,B134,1,False,0.8098,0.0932,-0.0243,0.86,0.7602,0.8846,0.0404,0.0121,0.0049,data-pinned
A196-B107,A196,B107,1,False,0.8098,0.0932,-0.0243,0.86,0.7593,0.8593,0.0315,0.0121,0.0049,data-pinned
A193-B87,A193,B87,1,False,0.8098,0.0932,-0.0243,0.86,0.7595,0.8731,0.0395,0.0121,0.0049,data-pinned
A198-B101,A198,B101,1,False,0.8098,0.0932,-0.0243,0.86,0.761,0.8586,0.0316,0.0121,0.0049,data-pinned
A19-B38,A19,B38,1,False,0.8098,0.0932,-0.0243,0.86,0.7622,0.8672,0.0356,0.0121,0.0049,data-pinned
A196-B143,A196,B143,1,False,0.8098,0.0932,-0.0243,0.86,0.7646,0.875,0.037,0.0121,0.0049,data-pinned
A21-B158,A21,B158,1,False,0.8098,0.0932,-0.0243,0.86,0.7605,0.8633,0.0347,0.0121,0.0049,data-pinned
A196-B85,A196,B85,1,False,0.8098,0.0932,-0.0243,0.86,0.764,0.8715,0.0355,0.0121,0.0049,data-pinned
A20-B38,A20,B38,1,False,0.8098,0.0932,-0.0243,0.86,0.7605,0.8879,0.0372,0.0121,0.0049,data-pinned
A81-B145,A81,B145,1,False,0.8098,0.0932,-0.0243,0.86,0.761,0.8688,0.0353,0.0121,0.0049,data-pinned
A78-B140,A78,B140,1,False,0.8098,0.0932,-0.0243,0.86,0.7626,0.8669,0.0366,0.0121,0.0049,data-pinned
A65-B26,A65,B26,1,False,0.8098,0.0932,-0.0243,0.86,0.7626,0.865,0.0366,0.0121,0.0049,data-pinned
A87-B53,A87,B53,1,False,0.8098,0.0932,-0.0243,0.86,0.761,0.865,0.0351,0.0121,0.0049,data-pinned
A78-B130,A78,B130,2,True,0.8094,0.0786,-0.0247,0.86,0.7508,0.8583,0.0267,0.0054,0.0085,data-pinned
A96-B79,A96,B79,3,True,0.8074,0.046,-0.0268,0.86,0.7907,0.8356,0.013,0.0071,0.0236,mixed
A63-B147,A63,B147,3,True,0.8073,0.0624,-0.0269,0.86,0.7813,0.8492,0.0177,0.0017,0.0138,data-pinned
A96-B127,A96,B127,2,True,0.8043,0.0851,-0.0298,0.86,0.7404,0.8641,0.033,0.0112,0.0069,data-pinned
A186-B111,A186,B111,1,False,0.803,0.0918,-0.0311,0.86,0.7305,0.8544,0.0409,0.0141,0.0084,data-pinned
A60-B11,A60,B11,1,False,0.803,0.0918,-0.0311,0.86,0.7305,0.8721,0.0386,0.0141,0.0084,data-pinned
A196-B34,A196,B34,1,False,0.8028,0.0916,-0.0313,0.86,0.7269,0.8689,0.0399,0.0161,0.0081,data-pinned
A104-B151,A104,B151,1,False,0.8028,0.0916,-0.0313,0.86,0.7239,0.8475,0.0367,0.0161,0.0081,data-pinned
A96-B75,A96,B75,3,True,0.8027,0.0666,-0.0315,0.86,0.7618,0.8446,0.0206,0.0122,0.0145,data-pinned
