Sample,DNA_construct,Replicate,Candidate,verA,verB,n_obs_timepoints,transfers_observed,total_reads,logA_init,r_init_per_cycle,r_final_per_cycle,breakpoint_transfer,r_init_per_generation,r_final_per_generation,r_init_per_hour_measured,r_final_per_hour_measured,model_selected,direction,unconstrained_direction,breakpoint_testable,rel_rate_change,abs_rate_change,delta_bic,r2_selected,r2_constant,r2_two_phase,wrss_constant,wrss_two_phase,s_constant_per_cycle,freq_init,freq_final,estimable
B4_M_bcfr,4MXB,bcfr,A96-B87,A96,B87,2,"3,4",3,-0.3249,-0.0111,-0.0111,,-0.0037,-0.0037,-0.00042,-0.00042,constant,constant,none,False,,,,0.2157,0.2157,,0.0188,,-0.0111,0.00051,0.0,True
B4_M_fbcr,4MXB,fbcr,A143-B84,A143,B84,3,"3,4,13",1714,5.2572,0.1392,0.1392,,0.0433,0.0433,0.00527,0.00527,constant,constant,none,False,,,,0.7022,0.7022,,284.46727,,0.1392,0.08261,0.13036,True
B4_M_fbcr,4MXB,fbcr,A152-B100,A152,B100,3,"3,4,13",45,1.9959,-0.036,-0.036,,-0.0083,-0.0083,-0.00137,-0.00137,constant,constant,none,False,,,,0.0875,0.0875,,4.10466,,-0.036,0.00453,0.00064,True
B4_M_fbcr,4MXB,fbcr,A152-B110,A152,B110,2,"3,4",5,0.0377,-0.0651,-0.0651,,-0.0206,-0.0206,-0.00247,-0.00247,constant,constant,none,False,,,,0.4358,0.4358,,0.24701,,-0.0651,0.00086,0.0,True
B4_M_fbcr,4MXB,fbcr,A152-B151,A152,B151,2,"3,4",28,1.6284,-0.2059,-0.2059,,-0.0577,-0.0577,-0.0078,-0.0078,constant,constant,none,False,,,,0.9893,0.9893,,0.02413,,-0.2059,0.0041,0.0,True
B4_M_fbcr,4MXB,fbcr,A153-B30,A153,B30,2,"3,4",96,2.8424,-0.2215,-0.2215,,-0.0508,-0.0508,-0.00839,-0.00839,constant,constant,none,False,,,,0.6306,0.6306,,1.97337,,-0.2215,0.01316,0.0,True
B4_M_fbcr,4MXB,fbcr,A153-B6,A153,B6,3,"3,4,13",93,2.7777,-0.1759,-0.1759,,-0.0518,-0.0518,-0.00666,-0.00666,constant,constant,none,False,,,,0.9705,0.9705,,0.23382,,-0.1759,0.01381,0.00043,True
B4_M_fbcr,4MXB,fbcr,A159-B24,A159,B24,2,"3,4",2,-0.6968,0.0276,0.0276,,0.0095,0.0095,0.00105,0.00105,constant,constant,none,False,,,,0.1175,0.1175,,0.22561,,0.0276,0.00022,0.0,True
B4_M_fbcr,4MXB,fbcr,A159-B77,A159,B77,2,"3,4",5,0.0377,-0.0651,-0.0651,,-0.0206,-0.0206,-0.00247,-0.00247,constant,constant,none,False,,,,0.4358,0.4358,,0.24701,,-0.0651,0.00086,0.0,True
B4_M_fbcr,4MXB,fbcr,A162-B137,A162,B137,2,"3,4",2,-0.6968,0.0276,0.0276,,0.0095,0.0095,0.00105,0.00105,constant,constant,none,False,,,,0.1175,0.1175,,0.22561,,0.0276,0.00022,0.0,True
