Sample,DNA_construct,Replicate,Candidate,verA,verB,n_obs_timepoints,transfers_observed,total_reads,logA_init,r_init_per_cycle,r_final_per_cycle,breakpoint_transfer,r_init_per_generation,r_final_per_generation,r_init_per_hour_measured,r_final_per_hour_measured,model_selected,direction,unconstrained_direction,breakpoint_testable,rel_rate_change,abs_rate_change,delta_bic,r2_selected,r2_constant,r2_two_phase,wrss_constant,wrss_two_phase,s_constant_per_cycle,freq_init,freq_final,estimable
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A20-B126,A20,B126,2,"3,4",3,-0.2397,-0.0055,-0.0055,,-0.0007,-0.0007,-0.00021,-0.00021,constant,constant,none,False,,,,0.0017,0.0017,,0.74331,,-0.0055,0.0001,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A20-B178,A20,B178,2,"3,4",9,0.6863,-0.1517,-0.1517,,-0.0447,-0.0447,-0.00575,-0.00575,constant,constant,none,False,,,,0.5926,0.5926,,0.78511,,-0.1517,0.00073,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A20-B30,A20,B30,2,"3,4",20,1.404,-0.2161,-0.2161,,-0.0622,-0.0622,-0.00819,-0.00819,constant,constant,none,False,,,,0.8404,0.8404,,0.47103,,-0.2161,0.00135,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A20-B60,A20,B60,2,"3,4",5,0.1688,-0.0836,-0.0836,,-0.0248,-0.0248,-0.00317,-0.00317,constant,constant,none,False,,,,0.3947,0.3947,,0.50277,,-0.0836,0.00042,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A20-B84,A20,B84,2,"3,4",7,0.3927,-0.0883,-0.0883,,-0.0253,-0.0253,-0.00335,-0.00335,constant,constant,none,False,,,,0.747,0.747,,0.12384,,-0.0883,0.00042,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A4-B117,A4,B117,2,"3,4",2,-0.5723,0.0222,0.0222,,0.0069,0.0069,0.00084,0.00084,constant,constant,none,False,,,,0.1135,0.1135,,0.15436,,0.0222,0.0001,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A4-B87,A4,B87,2,"3,4",4,-0.0773,-0.0311,-0.0311,,-0.0085,-0.0085,-0.00118,-0.00118,constant,constant,none,False,,,,0.1764,0.1764,,0.19683,,-0.0311,0.00021,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A63-B117,A63,B117,2,"3,4",4,-0.0773,-0.0311,-0.0311,,-0.0085,-0.0085,-0.00118,-0.00118,constant,constant,none,False,,,,0.1764,0.1764,,0.19683,,-0.0311,0.00021,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A63-B147,A63,B147,2,"3,4",7,0.5129,-0.1328,-0.1328,,-0.0394,-0.0394,-0.00503,-0.00503,constant,constant,none,False,,,,0.4084,0.4084,,1.24896,,-0.1328,0.00062,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A63-B151,A63,B151,3,"3,4,13",63,2.4942,-0.1773,-0.1773,,-0.0499,-0.0499,-0.00672,-0.00672,constant,constant,none,False,,,,0.5741,0.5741,,3.55031,,-0.1773,0.00364,0.0001,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A63-B75,A63,B75,2,"3,4",5,0.1006,-0.0592,-0.0592,,-0.017,-0.017,-0.00224,-0.00224,constant,constant,none,False,,,,0.9152,0.9152,,0.01476,,-0.0592,0.00031,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A63-B84,A63,B84,2,"3,4",2,-0.5723,0.0222,0.0222,,0.0069,0.0069,0.00084,0.00084,constant,constant,none,False,,,,0.1135,0.1135,,0.15436,,0.0222,0.0001,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A65-B8,A65,B8,3,"3,4,13",8,-0.2215,0.1917,0.1917,,0.0559,0.0559,0.00726,0.00726,constant,constant,none,False,,,,0.9776,0.9776,,0.18297,,0.1917,0.00021,0.00039,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A77-B8,A77,B8,2,"3,4",2,-0.5723,0.0222,0.0222,,0.0069,0.0069,0.00084,0.00084,constant,constant,none,False,,,,0.1135,0.1135,,0.15436,,0.0222,0.0001,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A78-B103,A78,B103,2,"3,4",16,1.1783,-0.1834,-0.1834,,-0.0527,-0.0527,-0.00695,-0.00695,constant,constant,none,False,,,,0.8301,0.8301,,0.35538,,-0.1834,0.00104,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A78-B109,A78,B109,2,"3,4",3,-0.2397,-0.0055,-0.0055,,-0.0007,-0.0007,-0.00021,-0.00021,constant,constant,none,False,,,,0.0017,0.0017,,0.74331,,-0.0055,0.0001,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A78-B137,A78,B137,3,"3,4,6",1013,5.31,-0.2703,-0.2703,,-0.0674,-0.0674,-0.01024,-0.01024,constant,constant,none,False,,,,0.4386,0.4386,,27.51486,,-0.2703,0.06566,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A78-B142,A78,B142,2,"3,4",8,0.5179,-0.1099,-0.1099,,-0.0318,-0.0318,-0.00416,-0.00416,constant,constant,none,False,,,,0.8903,0.8903,,0.07143,,-0.1099,0.00052,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A78-B150,A78,B150,3,"3,4,13",11,0.672,-0.0066,-0.0066,,-0.0017,-0.0017,-0.00025,-0.00025,constant,constant,none,False,,,,0.0074,0.0074,,0.72366,,-0.0066,0.00052,0.0001,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A78-B171,A78,B171,2,"3,4",27,1.6914,-0.2017,-0.2017,,-0.0561,-0.0561,-0.00764,-0.00764,constant,constant,none,False,,,,0.5731,0.5731,,1.65299,,-0.2017,0.00156,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A78-B26,A78,B26,2,"3,4",23,1.5439,-0.2324,-0.2324,,-0.0667,-0.0667,-0.0088,-0.0088,constant,constant,none,False,,,,0.8375,0.8375,,0.56601,,-0.2324,0.00156,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A78-B70,A78,B70,2,"3,4",48,2.2919,-0.3195,-0.3195,,-0.0905,-0.0905,-0.0121,-0.0121,constant,constant,none,False,,,,0.8345,0.8345,,1.22322,,-0.3195,0.00332,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A78-B84,A78,B84,3,"3,4,13",275,3.9959,-0.2506,-0.2506,,-0.0688,-0.0688,-0.00949,-0.00949,constant,constant,none,False,,,,0.6765,0.6765,,8.92381,,-0.2506,0.01704,0.0002,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A81-B12,A81,B12,2,"3,4",13,0.9734,-0.1397,-0.1397,,-0.0394,-0.0394,-0.00529,-0.00529,constant,constant,none,False,,,,0.5745,0.5745,,0.71915,,-0.1397,0.00073,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A81-B137,A81,B137,2,"3,4",3,-0.2933,-0.0176,-0.0176,,-0.0051,-0.0051,-0.00067,-0.00067,constant,constant,none,False,,,,0.2852,0.2852,,0.03364,,-0.0176,0.00021,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A81-B140,A81,B140,2,"3,4",44,2.2721,-0.3978,-0.3978,,-0.1161,-0.1161,-0.01507,-0.01507,constant,constant,none,False,,,,0.7047,0.7047,,3.87484,,-0.3978,0.00364,0.0,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A81-B171,A81,B171,3,"3,4,13",29,1.798,-0.1614,-0.1614,,-0.048,-0.048,-0.00612,-0.00612,constant,constant,none,False,,,,0.4182,0.4182,,5.23581,,-0.1614,0.00239,0.0001,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A81-B18,A81,B18,3,"3,4,13",112,3.1383,-0.321,-0.321,,-0.0931,-0.0931,-0.01216,-0.01216,constant,constant,none,False,,,,0.7572,0.7572,,5.47085,,-0.321,0.00842,0.0001,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A81-B3,A81,B3,3,"3,4,13",24,0.9738,0.145,0.145,,0.0421,0.0421,0.00549,0.00549,constant,constant,none,False,,,,0.894,0.894,,1.37779,,0.145,0.00094,0.00088,True
TFMN4.exp2.ACN3788.concX_largeLib_SpeI.1,concX_largeLib_SpeI,1,A81-B4,A81,B4,2,"3,4",8,0.5604,-0.1318,-0.1318,,-0.0388,-0.0388,-0.00499,-0.00499,constant,constant,none,False,,,,0.6386,0.6386,,0.4808,,-0.1318,0.00062,0.0,True
